FID,access,bridge,from_,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,tunnel,width,out_pgh,river_bge
0, , ,104185746,residential, ,0,2,38.786, ,Ainsworth Street,False,11651757, , ,104185739, , ,0,0
1, , ,104678799,residential, ,0,2,39.084,25 mph,Lorenz Avenue,False,294921171, , ,104185739, , ,0,0
2, , ,105697570,residential, ,0,2,40.684,25 mph,Lorenz Avenue,False,294921171, , ,104185739, , ,0,0
3, , ,104185749,residential, ,0,2,82.869, ,Ainsworth Street,False,11651757, , ,104185746, , ,0,0
4, , ,105690043,service, ,0, ,39.404, ,Parnassus Way,False,11804987, ,alley,104185746, , ,0,0
5, , ,104678790,service, ,0, ,39.676, ,Parnassus Way,False,11804987, ,alley,104185746, , ,0,0
6, , ,104185758,residential, ,0,2,24.761, ,Ainsworth Street,False,11651757, , ,104185749, , ,0,0
7, , ,104628962,residential, ,0,2,39.45,25 mph,Marlow Street,False,11693930, , ,104185749, , ,0,0
8, , ,104628945,residential, ,0,2,40.259,25 mph,Marlow Street,False,11693930, , ,104185749, , ,0,0
9, , ,104185891,service, ,0, ,48.612, ,Leaf Street,False,11651776, , ,104185884, , ,0,0
10, , ,104862372,service, ,0, ,41.113, ,Bernd Way,False,11947834, , ,104185884, , ,0,0
11, , ,106050710,service, ,0, ,43.165, ,Bernd Way,False,11947834, , ,104185884, , ,0,0
12, , ,104862378,service, ,0, ,41.347, ,Ardale Way,False,11957181, , ,104185891, , ,0,0
13, , ,106050722,service, ,0, ,42.92, ,Ardale Way,False,11957181, , ,104185891, , ,0,0
14, , ,3261258738,residential, ,0, ,6.89, ,Delmont Avenue,False,88317667, , ,104185902, , ,0,0
15, , ,1025849378,residential, ,0, ,39.719, ,Cedar Hurst Street,False,319670834, , ,104185902, , ,0,0
16, , ,105147252,residential, ,0, ,98.75999999999999, ,Delmont Avenue,False,88317667, , ,104185902, , ,0,0
17, , ,104639337,service, ,0, ,162.03, ,Lehr Street,False,11694964, , ,104185906, , ,0,0
18, , ,104862334,living_street, ,0, ,39.286, ,Haberman Avenue,False,88317665, , ,104185906, , ,0,0
19, , ,3261258738,service, ,0, ,142.411, ,Leaf Street,False,88317666, , ,104185906, , ,0,0
20, , ,104185921,residential, ,0, ,126.767, ,Alan Street,False,11651779, , ,104185917, , ,1,0
21, , ,1025986763,residential, ,0, ,60.206999999999994, ,Brinwood Avenue,False,11831876, , ,104185917, , ,1,0
22, , ,104812424,residential, ,0, ,92.34899999999999, ,Brinwood Avenue,False,11831876, , ,104185917, , ,1,0
23, , ,104185927,residential, ,0, ,91.371, ,Alan Street,False,11651779, , ,104185921, , ,1,0
24, , ,104812412,residential, ,0, ,83.5, ,Calvert Avenue,False,11832998, , ,104185921, , ,1,0
25, , ,104662735,residential, ,0, ,214.148, ,Calvert Avenue,False,11832998, , ,104185921, , ,1,0
26, , ,104775349,tertiary, ,0, ,130.876, ,Agnew Road,False,11806856, , ,104185927, , ,1,0
27, , ,104903444,tertiary, ,0, ,36.809, ,Agnew Road,False,11806856, , ,104185927, , ,1,0
28, , ,104186062,residential, ,0, ,173.369, ,Fairfield Avenue,False,11651795, , ,104186052, , ,1,0
29, , ,104195540,residential, ,0, ,39.08, ,Superior Street,False,11826275, , ,104186052, , ,1,0
30, , ,104359320,residential, ,0, ,44.387, ,Superior Street,False,11826275, , ,104186052, , ,1,0
31, , ,104186067,residential, ,0, ,131.798, ,Fairfield Avenue,False,11651795, , ,104186062, , ,1,0
32, , ,104195546,residential, ,0, ,40.338, ,Caroline Avenue,False,11708104, , ,104186062, , ,1,0
33, , ,104359323,residential, ,0, ,41.53, ,Caroline Avenue,False,11708104, , ,104186062, , ,1,0
34, , ,104186078,residential, ,0, ,175.173, ,Fairfield Avenue,False,11651795, , ,104186067, , ,1,0
35, , ,104195551,residential, ,0, ,43.7, ,McKinley Street,False,11948869, , ,104186067, , ,1,0
36, , ,104359326,residential, ,0, ,45.627, ,McKinley Street,False,11948869, , ,104186067, , ,1,0
37, , ,104186086,residential, ,0, ,107.374, ,Fairfield Avenue,False,11651795, , ,104186078, , ,1,0
38, , ,104195559,residential, ,0, ,40.227, ,Leslie Avenue,False,11687040, , ,104186078, , ,1,0
39, , ,2611571712,residential, ,0, ,42.207, ,Leslie Avenue,False,11687040, , ,104186078, , ,1,0
40, , ,104590390,residential, ,0, ,82.433, ,Elizabeth Street,False,11690844, , ,104186086, , ,1,0
41, , ,2611571690,residential, ,0, ,43.776, ,Elizabeth Street,False,11690844, , ,104186086, , ,1,0
42, , ,104186104,residential, ,0, ,210.56, ,Pemberton Street,False,11651799, , ,104186099, , ,0,0
43, , ,106321055,residential, ,0, ,268.576, ,"['Purdue Street', 'Pemberton Street', 'Cornell Street']",False,"[11692943, 11651799, 11852359]", , ,104186099, , ,0,0
44, , ,105877593,residential, ,0, ,46.854, ,Wickshire Street,False,11959317, , ,104186099, , ,0,0
45, , ,104186114,residential, ,0, ,175.283, ,Pemberton Street,False,11651799, , ,104186104, , ,0,0
46, , ,105877593,"['residential', 'service']", ,0, ,259.451, ,"['Aquatic Way', 'Wapello Street']",False,"[11710836, 11823484]", ,alley,104186104, , ,0,0
47, , ,104187324,residential, ,0, ,86.42899999999999, ,Wapello Street,False,11710836, , ,104186104, , ,0,0
48, , ,3046670098,tertiary, ,0,2,54.317,25 mph,Brighton Road,False,405681460, , ,104186114, , ,0,0
49, , ,104187329,tertiary, ,0,2,73.054,25 mph,Brighton Road,False,405681460, , ,104186114, , ,0,0
50, , ,104186323,tertiary, ,0,2,268.228, ,Forest Avenue,False,11651818, , ,104186320, , ,1,0
51, , ,104789571,tertiary, ,0, ,166.793, ,8th Avenue,False,11804516, , ,104186320, , ,1,0
52, , ,104789594,residential, ,0, ,145.726, ,8th Avenue,False,55286730, , ,104186320, , ,1,0
53, , ,104186332,tertiary, ,0,2,61.11, ,Forest Avenue,False,11651818, , ,104186323, , ,1,0
54, , ,104368467,service, ,0, ,134.957, , ,False,11670372, , ,104186323, , ,1,0
55, , ,105255276,residential, ,0, ,96.009, ,Wood Street,False,11946532, , ,104186332, , ,1,0
56, , ,106119677,tertiary, ,0,2,914.1649999999998, ,"['Forest Avenue', 'West Run Road']",False,"[11840161, 11651818]", , ,104186332, , ,1,0
57, , ,104186571,residential, ,0, ,195.989, ,Forest Avenue,False,11651847, , ,104186560, , ,1,0
58, , ,5733568479,residential, ,0, ,99.629, ,York Street,False,11746508, , ,104186560, , ,1,0
59, , ,105176586,residential, ,0, ,98.107, ,York Street,False,11746508, , ,104186560, , ,1,0
60, , ,104186578,residential, ,0, ,219.9, ,Forest Avenue,False,11651847, , ,104186571, , ,1,0
61, , ,106017037,residential, ,0, ,148.812, ,Wayne Road,False,11952832, , ,104186571, , ,1,0
62, , ,105740018,residential, ,0, ,108.288, ,Wayne Road,False,11952832, , ,104186571, , ,1,0
63, , ,104195409,residential, ,0, ,54.276, ,Union Street,False,11835491, , ,104186578, , ,1,0
64, , ,106017055,residential, ,0, ,134.579, ,Union Street,False,11835491, , ,104186578, , ,1,0
65, , ,104186720,residential, ,0, ,171.873, ,Forest Avenue,False,11651859, , ,104186715, , ,1,0
66, , ,104574451,residential, ,0, ,51.163, ,Terrace Avenue,False,11834074, , ,104186715, , ,1,0
67, , ,106312860,residential, ,0, ,321.24199999999996, ,"['Forest Avenue', 'Ridge Avenue']",False,"[11947906, 11651859]", , ,104186715, , ,1,0
68, , ,104574457,residential, ,0, ,53.62, ,Grandview Avenue,False,11839207, , ,104186720, , ,1,0
69, , ,105002883,residential, ,0, ,180.252, ,"['Forest Avenue', 'Gamble Street']",False,"[11651859, 11728027]", , ,104186720, , ,1,0
70, , ,104186753,secondary, ,0, ,122.101, ,North Negley Avenue,False,11651864, , ,104186744, , ,0,0
71, , ,105927622,secondary, ,0, ,49.844, ,South Negley Avenue,False,11826525, , ,104186744, , ,0,0
72, , ,105965543,primary, ,0, ,175.736, ,Penn Avenue,False,302198442, , ,104186744, , ,0,0
73, , ,105965507,primary, ,0, ,86.422, ,Penn Avenue,False,302193674, , ,104186744, , ,0,0
74, , ,104186765,secondary, ,0, ,136.506, ,North Negley Avenue,False,11651864, , ,104186753, , ,0,0
75, , ,106069613,residential, ,0, ,169.216, ,Broad Street,False,11853188, , ,104186753, , ,0,0
76, , ,105965543,residential, ,0, ,296.2, ,"['N St Clair Street', 'Broad Street']",False,"[11853188, 11950340]", , ,104186753, , ,0,0
77, , ,104186773,secondary, ,0, ,124.215, ,North Negley Avenue,False,11651864, , ,104186765, , ,0,0
78, , ,104704862,residential, ,0, ,173.82, ,Rural Street,False,11952247, , ,104186765, , ,0,0
79, , ,104186779,secondary, ,0, ,48.731, ,North Negley Avenue,False,11651864, , ,104186773, , ,0,0
80, , ,104704879,residential, ,0, ,175.422, ,Rippey Street,False,11826745, , ,104186773, , ,0,0
81, , ,572065243,secondary, ,0, ,72.134, ,North Negley Avenue,False,11651864, , ,104186779, , ,0,0
82, , ,104690428,residential, ,0, ,126.787, ,Rippey Place,False,11699453, , ,104186779, , ,0,0
83, , ,104186797,secondary, ,0, ,46.638, ,North Negley Avenue,False,11651864, , ,104186789, , ,0,0
84, , ,572065243,secondary, ,0, ,17.929, ,North Negley Avenue,False,11651864, , ,104186789, , ,0,0
85, , ,105735950,residential, ,0, ,163.278, ,Margaretta Street,False,11811497, , ,104186789, , ,0,0
86, , ,105232939,secondary, ,0,2,88.444, ,East Liberty Boulevard,True,208898973, , ,104186789, , ,0,0
87, , ,104186802,secondary, ,0, ,75.932, ,North Negley Avenue,False,11651864, , ,104186797, , ,0,0
88, , ,104186797,residential, ,0, ,341.562, ,Columbo Street,True,329447133, , ,105181349, , ,0,0
89, , ,105823477,residential, ,0, ,56.521, ,Black Street,False,11820359, , ,104186802, , ,0,0
90, , ,104186809,secondary, ,0, ,119.008, ,North Negley Avenue,False,302198440, , ,104186802, , ,0,0
91, , ,105748284,residential, ,0, ,56.639, ,Hays Street,False,11812824, , ,104186809, , ,0,0
92, , ,105748278,residential, ,0, ,56.196, ,Hays Street,False,11812824, , ,104186809, , ,0,0
93, , ,104186816,secondary, ,0, ,104.733, ,North Negley Avenue,False,302198440, , ,104186809, , ,0,0
94, , ,105823501,residential, ,0, ,53.393, ,Baywood Street,False,11826758, , ,104186816, , ,0,0
