Source,Target,Type,Id,bridge,required,out_boundary,distance
104449098,696080101,Directed,1843,1,1,0,1090.831
104534351,686448336,Directed,3407,1,1,0,506.641
104594519,683704692,Directed,6048,1,1,0,352.459
104871606,1253610159,Directed,15957,1,1,0,141.527
104871616,105030513,Directed,15961,1,1,0,671.89
104871791,683704687,Directed,15965,1,1,0,373.905
105030513,104871616,Directed,20969,1,1,0,671.89
105097466,339260059,Directed,23231,1,1,0,433.067
105836443,105965321,Directed,32749,1,1,0,656.201
105965321,105836443,Directed,35204,1,1,0,656.201
106053349,1685862001,Directed,37245,1,1,0,1013.979
271201214,5312910301,Directed,40913,1,1,0,494.5
275755069,683704708,Directed,41006,1,1,0,396.627
339260059,339258687,Directed,41405,1,1,0,576.851
422366721,1685862790,Directed,41575,1,1,0,508.174
675647429,684842352,Directed,41955,1,1,0,2026.125
683700398,104199519,Directed,42011,1,1,0,212.04
683700442,683700447,Directed,42012,1,1,0,212.047
683700447,683700449,Directed,42013,1,1,0,48.987
683704687,104871791,Directed,42038,1,1,0,373.905
683704692,104594519,Directed,42041,1,1,0,352.459
683704708,275755069,Directed,42044,1,1,0,396.627
684666821,1025849742,Directed,42102,1,1,0,587.261
684842352,675647429,Directed,42190,1,1,0,2026.125
684844055,684861842,Directed,42234,1,1,0,419.11
684861957,684844042,Directed,42242,1,1,0,436.849
684996191,271191647,Directed,42416,1,1,0,208.242
684996280,684996205,Directed,42425,1,1,0,208.693
686444866,3227655838,Directed,42562,1,1,0,572.087
686448336,104534351,Directed,42580,1,1,0,506.641
687153341,687154275,Directed,42725,1,1,0,408.683
687154277,687153353,Directed,42732,1,1,0,412.13
688524794,688525038,Directed,42836,1,1,0,924.906
688525044,688524822,Directed,42865,1,1,0,1114.761
696080101,104449098,Directed,43023,1,1,0,1090.831
824101775,3861736779,Directed,43153,1,1,0,826.575
1025849742,684666821,Directed,43602,1,1,0,587.261
1253610159,104871606,Directed,44941,1,1,0,141.527
1370793639,4575931040,Directed,45217,1,1,0,685.736
1685862001,106053349,Directed,45703,1,1,0,1013.979
1685862790,422366721,Directed,45728,1,1,0,508.174
3227655838,104449752,Directed,49513,1,1,0,377.504
3227655838,105097466,Directed,49514,1,1,0,437.895
3861736779,824101775,Directed,52286,1,1,0,826.575
4575931118,687157694,Directed,53209,1,1,0,680.079
5000839369,5002172531,Directed,54367,1,1,0,461.263
5002172531,5000839369,Directed,54421,1,1,0,461.263
5312910301,1460700301,Directed,55647,1,1,0,338.048
5312910743,683700398,Directed,55655,1,1,0,19.714
5317312876,339260059,Directed,55659,1,1,0,372.075
104191311,684907625,Directed,289,1,0,0,88.33
104199043,104199063,Directed,538,1,0,1,143.947
104199063,104199043,Directed,541,1,0,1,143.947
104199519,683700388,Directed,567,1,0,0,411.795
104199519,5312910782,Directed,568,1,0,0,153.317
104207189,104826092,Directed,655,1,0,1,79.86
104352970,685106501,Directed,988,1,0,0,54.448
104353201,3887048955,Directed,992,1,0,0,898.358
104354096,686151965,Directed,1013,1,0,0,330.085
104379500,3620485076,Directed,1424,1,0,0,121.259
104379500,4699895445,Directed,1426,1,0,0,282.822
104383287,1790005701,Directed,1512,1,0,0,95.681
104449098,685113884,Directed,1841,1,0,0,78.125
104449098,684597808,Directed,1842,1,0,0,50.632
104455264,2676342302,Directed,1937,1,0,1,125.41
104461207,105710593,Directed,2010,1,0,0,407.735
104461207,2610616306,Directed,2012,1,0,0,2814.089
104463258,104939760,Directed,2039,1,0,0,153.891
104510259,5002172346,Directed,2867,1,0,0,336.288
104512531,1734711475,Directed,2897,1,0,0,151.794
104541265,104800628,Directed,3829,1,0,0,187.975
104547762,104547790,Directed,4073,1,0,0,182.669
104547790,104547762,Directed,4076,1,0,0,182.669
104548401,104670336,Directed,4142,1,0,0,439.875
104551796,104909931,Directed,4325,1,0,0,280.498
104568322,105259037,Directed,4990,1,0,0,129.463
104571132,104571148,Directed,5132,1,0,1,48.732
104571148,104571132,Directed,5137,1,0,1,48.732
104572699,736437289,Directed,5245,1,0,0,80.167
104582375,104989356,Directed,5544,1,0,0,48.991
104582383,5000839506,Directed,5546,1,0,0,42.948
104592675,3533824293,Directed,5873,1,0,0,304.257
104602646,1803959299,Directed,6336,1,0,0,540.402
104618259,1026050042,Directed,6901,1,0,0,41.705
104626231,107628176,Directed,7228,1,0,0,176.507
104626678,687153341,Directed,7283,1,0,0,27.275
104629299,105690687,Directed,7435,1,0,1,112.956
104646944,454961367,Directed,8151,1,0,0,191.011
104647894,686152208,Directed,8217,1,0,0,426.176
104649142,5000839282,Directed,8286,1,0,0,201.289
104656846,2610409552,Directed,8506,1,0,1,265.69
104670336,104548401,Directed,9103,1,0,0,439.875
104677473,377130232,Directed,9369,1,0,0,340.719
104682251,1769431138,Directed,9641,1,0,1,141.9
104682693,4575931175,Directed,9708,1,0,0,2636.697
104692528,4990031770,Directed,10140,1,0,1,67.215
104705613,683730063,Directed,10591,1,0,0,34.533
104705613,683730057,Directed,10592,1,0,0,259.928
104712743,104712752,Directed,10945,1,0,0,82.638
104712752,3167104179,Directed,10947,1,0,0,34.231
104712752,105720931,Directed,10948,1,0,0,71.812
104712752,3167104178,Directed,10949,1,0,0,33.815
104712752,104712743,Directed,10950,1,0,0,82.638
104720544,104867298,Directed,11124,1,0,0,793.76
104735404,106053349,Directed,11657,1,0,1,190.766
104740614,687157709,Directed,11903,1,0,1,237.126
104765377,104857988,Directed,12253,1,0,0,74.417
104768925,107549389,Directed,12283,1,0,0,273.546
104789543,106053349,Directed,13033,1,0,1,226.813
104794647,105240125,Directed,13176,1,0,0,111.989
104800628,104541265,Directed,13436,1,0,0,187.975
104816607,105919160,Directed,13936,1,0,1,147.403
104826092,104207189,Directed,14268,1,0,1,79.86
104843285,4568804483,Directed,14811,1,0,0,467.574
104844049,2610616276,Directed,15009,1,0,0,505.785
104849393,105782018,Directed,15214,1,0,1,81.925
104857988,104765377,Directed,15626,1,0,0,74.417
104867298,104720544,Directed,15868,1,0,0,793.76
104871561,104871606,Directed,15955,1,0,0,1509.878
104871606,104871616,Directed,15958,1,0,0,48.954
104871606,104871561,Directed,15959,1,0,0,1509.878
104871616,2400997605,Directed,15960,1,0,0,23.437
104871616,104871606,Directed,15962,1,0,0,48.954
104874719,104994037,Directed,16040,1,0,1,194.809
104901926,4006655580,Directed,16825,1,0,1,77.786
104909931,104551796,Directed,17172,1,0,0,280.498
104914915,106053349,Directed,17328,1,0,1,291.659
104939760,104463258,Directed,18033,1,0,0,153.891
104973351,105242807,Directed,18745,1,0,1,148.34
104977232,106087338,Directed,18861,1,0,0,223.408
104987141,1833482413,Directed,19317,1,0,0,188.752
104987141,104987287,Directed,19318,1,0,0,691.835
104987447,3425055484,Directed,19332,1,0,0,215.421
104987472,106071271,Directed,19335,1,0,1,71.475
104989356,104582375,Directed,19387,1,0,0,48.991
104994037,104874719,Directed,19675,1,0,1,194.809
105013396,302964529,Directed,20411,1,0,0,205.893
105026833,393223018,Directed,20854,1,0,0,216.89
105030513,5711437588,Directed,20968,1,0,0,51.64
105030530,5711437588,Directed,20972,1,0,0,153.775
105036605,105702605,Directed,21194,1,0,0,210.179
105042615,1800789686,Directed,21503,1,0,0,160.982
105046480,4006655580,Directed,21693,1,0,0,76.403
105066213,105066227,Directed,22348,1,0,0,234.419
105066227,105066213,Directed,22351,1,0,0,234.419
105077089,105992529,Directed,22659,1,0,1,71.11
105089833,105865655,Directed,23056,1,0,1,65.639
105098815,105254572,Directed,23427,1,0,0,281.716
105115534,3830230898,Directed,23659,1,0,0,189.616
105116527,683730030,Directed,23683,1,0,0,31.419
105116535,683730009,Directed,23684,1,0,0,31.445
105116535,683730025,Directed,23685,1,0,0,23.056
105116541,665550144,Directed,23687,1,0,0,25.158
105123151,1462424896,Directed,23969,1,0,0,60.794
105130874,105130883,Directed,24158,1,0,0,39.33
105130874,688600846,Directed,24159,1,0,0,486.411
105130883,105130874,Directed,24161,1,0,0,39.33
105138756,107634151,Directed,24579,1,0,0,59.3
105142095,696080087,Directed,24660,1,0,0,98.317
105165804,3167104179,Directed,25072,1,0,0,46.515
105166043,105733200,Directed,25094,1,0,1,68.69
105232993,2191536740,Directed,27027,1,0,0,278.764
105240125,104794647,Directed,27332,1,0,0,111.989
105242807,104973351,Directed,27366,1,0,1,148.34
105250483,5320855570,Directed,27549,1,0,0,792.436
105254572,105098815,Directed,27666,1,0,0,281.716
105259037,104568322,Directed,27768,1,0,0,129.463
105259405,3772210008,Directed,27773,1,0,0,314.387
105259405,105259447,Directed,27774,1,0,0,861.831
105259447,105259405,Directed,27776,1,0,0,861.831
105690687,104629299,Directed,28329,1,0,1,112.956
105702605,105036605,Directed,28705,1,0,0,210.179
105705857,105718208,Directed,28904,1,0,0,301.137
105710593,104461207,Directed,29175,1,0,0,407.735
105718208,105705857,Directed,29433,1,0,0,301.137
105720931,104712752,Directed,29539,1,0,0,71.812
105727819,106059318,Directed,29762,1,0,0,164.829
105728929,2672515005,Directed,29852,1,0,0,181.064
105733200,105166043,Directed,30112,1,0,1,68.69
105743461,4455419329,Directed,30551,1,0,1,166.044
105759513,105759520,Directed,30958,1,0,0,89.436
105782018,104849393,Directed,31415,1,0,1,81.925
105797364,4229296698,Directed,31726,1,0,0,64.434
105865655,105089833,Directed,33405,1,0,1,65.639
105910933,107628273,Directed,34086,1,0,0,323.875
105919160,104816607,Directed,34268,1,0,1,147.403
105950698,5380934467,Directed,34858,1,0,1,198.772
105953474,4363733214,Directed,34931,1,0,0,331.927
105963891,693462334,Directed,35150,1,0,0,280.34
105969123,106061298,Directed,35340,1,0,0,202.876
105992529,105077089,Directed,35815,1,0,1,71.11
105994190,694914370,Directed,35892,1,0,0,227.835
105996021,105996032,Directed,35961,1,0,1,79.481
105996032,105996021,Directed,35963,1,0,1,79.481
106004625,106032895,Directed,36137,1,0,0,312.447
106008319,1254870203,Directed,36174,1,0,1,55.697
106008427,2993405842,Directed,36190,1,0,0,99.484
106016707,5000839479,Directed,36436,1,0,0,530.459
106032895,106004625,Directed,36632,1,0,0,312.447
106046857,4648754128,Directed,37019,1,0,1,644.07
106051550,3237448178,Directed,37143,1,0,0,136.544
106053349,104914915,Directed,37243,1,0,1,291.659
106053349,104789543,Directed,37244,1,0,1,226.813
106059318,105727819,Directed,37348,1,0,0,164.829
106061298,105969123,Directed,37401,1,0,0,202.876
106071271,104987472,Directed,37570,1,0,1,71.475
106087338,104977232,Directed,37690,1,0,0,223.408
106099212,736437289,Directed,37893,1,0,0,97.722
106120916,107697679,Directed,38189,1,0,0,88.292
106128243,5166483078,Directed,38291,1,0,0,187.921
107493891,107659974,Directed,39085,1,0,0,665.259
107521780,107545843,Directed,39398,1,0,1,310.822
107534215,3792266269,Directed,39506,1,0,0,440.502
107545843,107521780,Directed,39655,1,0,1,310.822
