Source,Target,Type,Id,Label,distance
1,1,Undirected,8,Penn-Lincoln Parkway East,320.047
1,1,Undirected,42,Penn-Lincoln Parkway East,1136.425
2,7,Undirected,130,Pittsburgh McKeesport Boulevard,670.849
2,2,Undirected,211,Chartiers Avenue,74.417
6,0,Undirected,301,PA 65,1359.063
2,2,Undirected,404,Lowe Street,90.817
8,0,Undirected,517,Butler Street,367.178
1,1,Undirected,787,Pennwood Avenue,310.822
1,1,Undirected,842,28th Street Bridge,214.001
10,0,Undirected,971,,560.68
10,87,Undirected,972,North Shore Expressway,219.329
1,1,Undirected,989,East Liberty Boulevard,275.543
11,3,Undirected,1119,Aiken Road,573.499
13,141,Undirected,1320,,310.322
13,1,Undirected,1321,Boulevard of the Allies,217.683
1,1,Undirected,1356,Schenley Drive,342.898
1,1,Undirected,1665,Beulah Road,125.725
2,2,Undirected,1697,Brosville Street,111.989
0,0,Undirected,2136,Ridge Avenue,60.794
14,105,Undirected,2156,31st Street Bridge,9.744
14,0,Undirected,2157,31st Street Bridge,15.758
14,0,Undirected,2158,Rialto Street,24.28
0,0,Undirected,2179,Martsolf Avenue,83.076
15,1,Undirected,2203,"['Glenwood Bridge', 'Second Avenue']",924.906
16,2,Undirected,2207,,353.72
16,15,Undirected,2208,,177.88
2,85,Undirected,2219,PA 885,173.764
2,19,Undirected,2222,PA 885,199.019
17,16,Undirected,2228,,30.563
17,2,Undirected,2229,PA 837,202.233
2,17,Undirected,2231,PA 837,239.505
2,19,Undirected,2238,PA 837,255.52
18,39,Undirected,2247,I 279,196.756
18,43,Undirected,2248,,40.814
2,85,Undirected,2261,,193.809
19,2,Undirected,2265,PA 837,453.722
19,15,Undirected,2266,Glenwood Bridge,149.263
0,0,Undirected,2286,California Avenue,281.716
1,2,Undirected,2351,"['Glenwood Bridge', 'Second Avenue']",1114.761
0,9,Undirected,2354,Babcock Boulevard,61.454
1,20,Undirected,2553,Penn-Lincoln Parkway East,443.217
0,0,Undirected,2830,Ohio River Boulevard,568.685
0,0,Undirected,2853,Allegheny Valley Expressway,361.415
0,0,Undirected,2854,,210.559
2,1,Undirected,2888,"['South 10th Street', 'South 10th Street Bridge']",506.641
0,0,Undirected,2905,Allegheny Valley Expressway,658.265
0,0,Undirected,2922,Grant Avenue,170.217
0,25,Undirected,2923,Ohio River Boulevard,562.005
21,92,Undirected,3024,I 279,191.989
23,4,Undirected,3095,Rockwood Drive,403.213
24,1,Undirected,3096,,272.982
24,1,Undirected,3097,,290.296
2,83,Undirected,3167,P J McArdle Roadway,323.875
1,1,Undirected,3214,Larimer Avenue,273.546
25,101,Undirected,3275,US 19,588.94
25,26,Undirected,3276,Ohio River Boulevard,635.025
1,72,Undirected,3874,Boulevard of the Allies,247.563
26,0,Undirected,3946,Ohio River Boulevard,532.261
27,133,Undirected,3947,US 19,465.804
27,0,Undirected,3948,,199.419
28,30,Undirected,4013,US 19,164.329
2,2,Undirected,4051,Saw Mill Run Boulevard,691.004
2,2,Undirected,4086,,319.341
2,2,Undirected,4087,Saw Mill Run Boulevard,325.745
30,148,Undirected,4148,West End Bridge,461.263
30,79,Undirected,4149,,138.786
30,0,Undirected,4150,West End Bridge,208.303
0,78,Undirected,4228,Ohio River Boulevard,375.309
3,3,Undirected,4234,Morrow Street,63.976
31,4,Undirected,4273,,143.085
31,138,Undirected,4274,Highland Park Bridge,180.004
4,29,Undirected,4357,Alpha Drive,270.488
