FID,highway,lat,lon,osmid,ref,out_pgh,river_bge,ngh_name
0, ,40.4444611,-80.0399041,104185739, ,0,0,Elliott
1, ,40.444201,-80.0395987,104185746, ,0,0,Elliott
2, ,40.4436411,-80.0389524,104185749, ,0,0,Elliott
3, ,40.4434668,-80.0387703,104185758, ,0,0,Elliott
4, ,40.4187264,-79.9983539,104185884, ,0,0,Beltzhoover
5, ,40.4187387,-79.9977799,104185891, ,0,0,Beltzhoover
6, ,40.4182435,-80.0039621,104185902, ,0,0,Beltzhoover
7, ,40.4186305,-80.0023558,104185906, ,0,0,Beltzhoover
8, ,40.394479,-79.9739474,104185917, ,1,0,
9, ,40.3956168,-79.9738535,104185921, ,1,0,
10, ,40.3964363,-79.9737743,104185927, ,1,0,
11, ,40.3813797,-79.901292,104186052, ,1,0,
12, ,40.3808403,-79.9032124,104186062, ,1,0,
13, ,40.3804072,-79.9046608,104186067, ,1,0,
14, ,40.3789431,-79.9054242,104186078, ,1,0,
15, ,40.378037,-79.9058624,104186086, ,1,0,
16, ,40.4826482,-80.0302919,104186099, ,0,0,Brighton Heights
17, ,40.4827012,-80.032767,104186104, ,0,0,Brighton Heights
18, ,40.4821027,-80.0346352,104186114, ,0,0,Brighton Heights
19, ,40.4011228,-79.9178123,104186320, ,1,0,
20, ,40.399655,-79.9152986,104186323, ,1,0,
21, ,40.399304,-79.9147433,104186332, ,1,0,
22, ,40.3875973,-79.9088287,104186560, ,1,0,
23, ,40.3858683,-79.9083792,104186571, ,1,0,
24, ,40.3839288,-79.907872,104186578, ,1,0,
25, ,40.4109084,-80.0782967,104186715, ,1,0,
26, ,40.4099109,-80.076746,104186720, ,1,0,
27,traffic_signals,40.4634975,-79.9306816,104186744, ,0,0,Friendship
28, ,40.4644891,-79.9300616,104186753, ,0,0,East Liberty
29,traffic_signals,40.4656068,-79.9293942,104186765, ,0,0,East Liberty
30, ,40.466623,-79.9287844,104186773, ,0,0,East Liberty
31, ,40.4670213,-79.9285441,104186779, ,0,0,East Liberty
32,traffic_signals,40.4677575,-79.9281003,104186789, ,0,0,East Liberty
33, ,40.4681403,-79.927875,104186797, ,0,0,East Liberty
34,traffic_signals,40.4687603,-79.9274988,104186802, ,0,0,East Liberty
35, ,40.4697703,-79.9270334,104186809, ,0,0,East Liberty
36, ,40.4706714,-79.926673,104186816, ,0,0,East Liberty
37,traffic_signals,40.4715455,-79.9262872,104186822, ,0,0,Highland Park
38, ,40.4724662,-79.9258409,104186829, ,0,0,Highland Park
39, ,40.4728187,-79.9256693,104186833, ,0,0,Highland Park
40, ,40.4732562,-79.925489,104186843, ,0,0,Highland Park
41, ,40.4740266,-79.9251629,104186854, ,0,0,Highland Park
42, ,40.4742134,-79.9250806,104186862, ,0,0,Highland Park
43, ,40.4754367,-79.9245416,104186871, ,0,0,Highland Park
44, ,40.4763388,-79.9241238,104186881, ,0,0,Highland Park
45, ,40.4772422,-79.9237486,104186887, ,0,0,Highland Park
46, ,40.4779757,-79.92329,104186898, ,0,0,Highland Park
47, ,40.4787153,-79.9228433,104186908, ,0,0,Highland Park
48, ,40.4794189,-79.9224138,104186918, ,0,0,Highland Park
49, ,40.3820989,-79.9016138,104187038, ,1,0,
50, ,40.381535,-79.9035665,104187045, ,1,0,
51, ,40.3809793,-79.9054011,104187053, ,1,0,
52, ,40.3802846,-79.9057873,104187056, ,1,0,
53, ,40.3792155,-79.9063244,104187062, ,1,0,
54, ,40.3782373,-79.9068388,104187069, ,1,0,
55, ,40.4892384,-80.0495993,104187225, ,1,0,
56, ,40.4895849,-80.049938,104187232, ,1,0,
57, ,40.490326,-80.0506515,104187243, ,1,0,
58, ,40.4817138,-80.0269733,104187293, ,0,0,Brighton Heights
59, ,40.4816061,-80.0278936,104187301, ,0,0,Brighton Heights
60, ,40.4814353,-80.0295061,104187319, ,0,0,Brighton Heights
61, ,40.4819263,-80.0328139,104187324, ,0,0,Brighton Heights
62,traffic_signals,40.4817084,-80.0339443,104187329, ,0,0,Brighton Heights
63, ,40.4812769,-80.0360128,104187341, ,0,0,Brighton Heights
64, ,40.4809607,-80.0373265,104187353, ,0,0,Brighton Heights
65, ,40.4804911,-80.0393119,104187364, ,0,0,Brighton Heights
66, ,40.4803666,-80.0398352,104187370, ,0,0,Brighton Heights
67, ,40.4802409,-80.0403622,104187373, ,0,0,Brighton Heights
68, ,40.4800726,-80.0410674,104187384, ,0,0,Brighton Heights
69, ,40.4799007,-80.0418039,104187391, ,0,0,Brighton Heights
70, ,40.4598876,-80.0285058,104187495, ,0,0,Manchester
71, ,40.4596963,-80.0295215,104187503, ,0,0,Manchester
72, ,40.4595786,-80.0301468,104187508, ,0,0,Manchester
73, ,40.4489573,-79.9615662,104187715, ,0,0,Upper Hill
74, ,40.4504386,-79.9638523,104187842, ,0,0,Upper Hill
75, ,40.4719283,-79.9038901,104188110, ,0,0,Lincoln-Lemington-Belmar
76, ,40.4722201,-79.9038134,104188131, ,0,0,Lincoln-Lemington-Belmar
77, ,40.4705725,-79.8876409,104188309, ,1,0,
78, ,40.4482322,-80.0803706,104188722, ,0,0,Fairywood
79, ,40.4485874,-80.0808238,104188730, ,0,0,Fairywood
80, ,40.4484976,-80.0800326,104188864, ,0,0,Fairywood
81, ,40.4481587,-80.0794908,104188871, ,0,0,Fairywood
82, ,40.42886,-80.061562,104188893, ,1,0,
83, ,40.4299807,-80.0609206,104188899, ,1,0,
84, ,40.431927,-80.05981,104188916, ,1,0,
85, ,40.4316871,-80.0592817,104188938, ,1,0,
86, ,40.432058,-80.060251,104188946, ,1,0,
87, ,40.4671685,-79.9976472,104189148, ,0,0,Spring Hill-City View
88, ,40.4671192,-79.9984093,104189156, ,0,0,Spring Hill-City View
89, ,40.447749,-80.0840458,104191122, ,0,0,Fairywood
90, ,40.4488504,-80.0846519,104191126, ,0,0,Fairywood
91, ,40.394473,-79.996284,104191147, ,0,0,Carrick
92,traffic_signals,40.4539394,-79.9978399,104191311, ,0,0,East Allegheny
93, ,40.3916597,-80.0131257,104191391, ,0,0,Brookline
94, ,40.392278,-80.0108619,104191407, ,0,0,Brookline
95, ,40.4661892,-79.9519367,104191585, ,0,0,Central Lawrenceville
96, ,40.4671355,-79.9515093,104191613, ,0,0,Central Lawrenceville
97, ,40.452945,-79.944337,104191960, ,0,0,Shadyside
98, ,40.4524748,-79.9441053,104191966, ,0,0,Shadyside
99, ,40.4549185,-79.9619207,104192015, ,0,0,Upper Hill
100, ,40.4576198,-79.9625842,104192054, ,0,0,Polish Hill
101, ,40.4562654,-79.9632063,104192081, ,0,0,Polish Hill
102, ,40.4254476,-80.0769195,104192117, ,1,0,
103, ,40.4246195,-80.0769178,104192122, ,0,0,
104, ,40.4238092,-79.9689047,104192763, ,0,0,South Side Slopes
105, ,40.4236376,-79.9699578,104192770, ,0,0,South Side Slopes
106, ,40.4203965,-79.8894601,104192780, ,1,0,
107, ,40.4211563,-79.8873413,104192787, ,1,0,
108, ,40.4201128,-79.8889392,104192800, ,1,0,
109, ,40.4197405,-79.8886966,104192806, ,1,0,
110, ,40.4197863,-79.8885676,104192815, ,1,0,
111, ,40.4202636,-79.8872252,104192824, ,1,0,
112, ,40.4194491,-79.8883239,104192866, ,1,0,
113, ,40.4192387,-79.8881844,104192887, ,1,0,
114, ,40.4188979,-79.8880034,104192895, ,1,0,
115, ,40.4193217,-79.8868009,104192903, ,1,0,
116, ,40.4410624,-80.0731625,104193152, ,1,0,
117, ,40.4414954,-80.0715666,104193157, ,1,0,
118, ,40.442546,-80.0718363,104193174, ,1,0,
119, ,40.4069715,-80.0422727,104193270, ,0,0,Banksville
120, ,40.4092218,-80.0434811,104193301, ,0,0,Banksville
121, ,40.4729724,-80.0313225,104193457, ,0,0,Marshall-Shadeland
122, ,40.4729505,-80.0318682,104193463, ,0,0,Marshall-Shadeland
123, ,40.4722568,-80.0316874,104193482, ,0,0,Marshall-Shadeland
124, ,40.4727595,-80.0312552,104193498, ,0,0,Marshall-Shadeland
125, ,40.4713626,-80.0334977,104193516, ,0,0,Marshall-Shadeland
126, ,40.4700202,-80.033747,104193537, ,0,0,Marshall-Shadeland
127, ,40.4699904,-80.0345783,104193549, ,0,0,Marshall-Shadeland
128, ,40.4903576,-80.0017544,104193976, ,1,0,
129, ,40.4335031,-79.8913295,104194082, ,1,0,
