modularity,hood_no,hood_name,mod_set length,hood_set length,intersection length,union length,jaccard index
4,1,Allegheny Center,398,44,8,434,0.01843318
15,1,Allegheny Center,589,44,36,597,0.060301508
15,2,Allegheny West,589,30,30,589,0.050933786
77,3,Allentown,233,65,1,297,0.003367003
73,3,Allentown,332,65,64,333,0.192192192
52,4,Arlington,135,80,1,214,0.004672897
73,4,Arlington,332,80,14,398,0.035175879
87,4,Arlington,132,80,9,203,0.044334975
79,4,Arlington,425,80,56,449,0.124721604
79,5,Arlington Heights,425,8,8,425,0.018823529
68,6,Banksville,160,110,40,230,0.173913043
34,6,Banksville,144,110,70,184,0.380434783
36,7,Bedford Dwellings,414,20,2,432,0.00462963
75,7,Bedford Dwellings,479,20,18,480,0.0375
89,8,Beechview,294,230,3,521,0.005758157
68,8,Beechview,160,230,5,385,0.012987013
34,8,Beechview,144,230,50,324,0.154320988
39,8,Beechview,181,230,172,239,0.719665272
89,9,Beltzhoover,294,82,7,369,0.01897019
73,9,Beltzhoover,332,82,75,339,0.221238938
36,10,Bloomfield,414,161,20,555,0.036036036
53,10,Bloomfield,358,161,73,446,0.16367713
57,10,Bloomfield,278,161,68,371,0.18328841
79,11,Bluff,425,95,1,519,0.001926782
36,11,Bluff,414,95,4,505,0.007920792
77,11,Bluff,233,95,9,319,0.028213166
75,11,Bluff,479,95,81,492,0.164634146
89,12,Bon Air,294,52,18,328,0.054878049
52,12,Bon Air,135,52,34,153,0.222222222
85,13,Brighton Heights,175,292,1,451,0.002217295
37,13,Brighton Heights,3,292,3,292,0.010273973
7,13,Brighton Heights,482,292,288,486,0.592592593
89,14,Brookline,294,320,11,603,0.018242123
39,14,Brookline,181,320,9,492,0.018292683
34,14,Brookline,144,320,24,440,0.054545455
50,14,Brookline,316,320,276,360,0.766666667
15,15,California-Kirkbride,589,50,11,628,0.017515924
4,15,California-Kirkbride,398,50,39,409,0.095354523
52,16,Carrick,135,301,6,430,0.013953488
87,16,Carrick,132,301,23,410,0.056097561
46,16,Carrick,112,301,71,342,0.207602339
89,16,Carrick,294,301,201,394,0.510152284
15,17,Central Business District,589,272,6,855,0.007017544
53,17,Central Business District,358,272,10,620,0.016129032
75,17,Central Business District,479,272,87,663,0.131221719
77,17,Central Business District,233,272,169,336,0.50297619
57,18,Central Lawrenceville,278,113,1,390,0.002564103
27,18,Central Lawrenceville,218,113,5,326,0.015337423
53,18,Central Lawrenceville,358,113,107,364,0.293956044
15,19,Central Northside,589,89,12,666,0.018018018
4,19,Central Northside,398,89,77,410,0.187804878
86,20,Central Oakland,649,63,3,709,0.004231312
36,20,Central Oakland,414,63,60,417,0.143884892
48,21,Chartiers City,52,40,3,89,0.033707865
45,21,Chartiers City,367,40,37,370,0.1
15,22,Chateau,589,105,105,589,0.178268251
32,23,Crafton Heights,63,135,3,195,0.015384615
45,23,Crafton Heights,367,135,42,460,0.091304348
67,23,Crafton Heights,373,135,90,418,0.215311005
75,24,Crawford-Roberts,479,80,80,478,0.167364017
15,25,Duquesne Heights,589,90,7,672,0.010416667
68,25,Duquesne Heights,160,90,24,226,0.10619469
72,25,Duquesne Heights,176,90,59,207,0.285024155
75,26,East Allegheny,479,97,2,573,0.003490401
13,26,East Allegheny,115,97,1,211,0.004739336
15,26,East Allegheny,589,97,94,592,0.158783784
67,27,East Carnegie,373,35,35,373,0.09383378
43,28,East Hills,282,96,59,319,0.184952978
19,28,East Hills,37,96,37,96,0.385416667
27,29,East Liberty,218,147,1,364,0.002747253
86,29,East Liberty,649,147,3,793,0.003783102
57,29,East Liberty,278,147,29,396,0.073232323
40,29,East Liberty,330,147,114,363,0.314049587
15,30,Elliott,589,136,4,721,0.00554785
68,30,Elliott,160,136,3,293,0.010238908
45,30,Elliott,367,136,15,488,0.030737705
67,30,Elliott,373,136,114,395,0.288607595
45,31,Esplen,367,41,5,403,0.012406948
48,31,Esplen,52,41,36,57,0.631578947
45,32,Fairywood,367,56,2,421,0.004750594
32,32,Fairywood,63,56,54,65,0.830769231
15,33,Fineview,589,79,10,658,0.015197568
13,33,Fineview,115,79,4,190,0.021052632
4,33,Fineview,398,79,65,412,0.15776699
40,34,Friendship,330,20,1,349,0.00286533
57,34,Friendship,278,20,19,279,0.068100358
40,35,Garfield,330,101,2,429,0.004662005
57,35,Garfield,278,101,99,280,0.353571429
11,36,Glen Hazel,20,25,1,44,0.022727273
87,36,Glen Hazel,132,25,7,150,0.046666667
83,36,Glen Hazel,164,25,17,172,0.098837209
36,37,Greenfield,414,205,3,616,0.00487013
84,37,Greenfield,433,205,202,436,0.463302752
0,38,Hays,84,75,1,158,0.006329114
87,38,Hays,132,75,74,133,0.556390977
83,39,Hazelwood,164,186,1,349,0.00286533
87,39,Hazelwood,132,186,5,313,0.015974441
84,39,Hazelwood,433,186,180,439,0.410022779
64,40,Highland Park,177,138,3,312,0.009615385
27,40,Highland Park,218,138,19,337,0.056379822
40,40,Highland Park,330,138,116,352,0.329545455
64,41,Homewood North,177,92,11,258,0.042635659
43,41,Homewood North,282,92,81,293,0.276450512
43,42,Homewood South,282,98,98,282,0.34751773
40,43,Homewood West,330,34,2,362,0.005524862
64,43,Homewood West,177,34,6,205,0.029268293
43,43,Homewood West,282,34,26,290,0.089655172
73,44,Knoxville,332,90,31,391,0.079283887
52,44,Knoxville,135,90,59,166,0.355421687
86,45,Larimer,649,93,1,741,0.001349528
64,45,Larimer,177,93,2,268,0.007462687
43,45,Larimer,282,93,10,365,0.02739726
40,45,Larimer,330,93,80,343,0.233236152
0,46,Lincoln Place,84,137,60,161,0.372670807
35,46,Lincoln Place,77,137,77,137,0.562043796
27,47,Lincoln-Lemington-Belmar,218,169,2,385,0.005194805
40,47,Lincoln-Lemington-Belmar,330,169,5,494,0.010121457
69,47,Lincoln-Lemington-Belmar,18,169,7,180,0.038888889
64,47,Lincoln-Lemington-Belmar,177,169,155,191,0.811518325
36,48,Lower Lawrenceville,414,68,1,481,0.002079002
53,48,Lower Lawrenceville,358,68,67,359,0.186629526
4,49,Manchester,398,75,5,468,0.010683761
15,49,Manchester,589,75,70,594,0.117845118
15,50,Marshall-Shadeland,589,208,33,764,0.043193717
7,50,Marshall-Shadeland,482,208,175,515,0.339805825
75,51,Middle Hill,479,91,91,478,0.190376569
69,52,Morningside,18,60,2,76,0.026315789
27,52,Morningside,218,60,58,220,0.263636364
68,54,Mount Washington,160,244,1,403,0.00248139
77,54,Mount Washington,233,244,10,467,0.021413276
89,54,Mount Washington,294,244,16,522,0.030651341
73,54,Mount Washington,332,244,102,474,0.215189873
72,54,Mount Washington,176,244,115,305,0.37704918
52,53,Mt. Oliver,135,19,19,135,0.140740741
87,55,New Homestead,132,52,10,174,0.057471264
0,55,New Homestead,84,52,23,113,0.203539823
11,55,New Homestead,20,52,19,53,0.358490566
53,56,North Oakland,358,74,2,430,0.004651163
75,56,North Oakland,479,74,5,547,0.009140768
36,56,North Oakland,414,74,67,421,0.159144893
75,57,North Shore,479,88,1,565,0.001769912
77,57,North Shore,233,88,4,317,0.012618297
15,57,North Shore,589,88,83,594,0.13973064
85,58,Northview Heights,175,28,1,187,0.005347594
22,58,Northview Heights,167,28,27,167,0.161676647
67,59,Oakwood,373,21,21,373,0.056300268
89,60,Overbrook,294,145,38,401,0.094763092
50,60,Overbrook,316,145,40,421,0.095011876
9,60,Overbrook,26,145,26,145,0.179310345
