id,osm_node_i,lat,lon,modularity,wprdc_hood,hood_no
382,104441571,40.3728535,-79.9166192,0,Lincoln Place,46
383,104441585,40.372588,-79.9149042,0,Lincoln Place,46
521,104477301,40.3872684,-79.9229469,0,New Homestead,55
522,104477305,40.3870527,-79.9232773,0,New Homestead,55
960,104536528,40.377141,-79.9150842,0,Lincoln Place,46
961,104536540,40.377262,-79.9148785,0,Lincoln Place,46
962,104536566,40.3721217,-79.9170204,0,Lincoln Place,46
2640,104627059,40.3727443,-79.9132606,0,Lincoln Place,46
2641,104627132,40.3714252,-79.9135662,0,Lincoln Place,46
2886,104638463,40.3963294,-79.9154978,0,New Homestead,55
2968,104644328,40.3718931,-79.9124132,0,Lincoln Place,46
2969,104644347,40.3718041,-79.9113023,0,Lincoln Place,46
2970,104644377,40.3701962,-79.9117423,0,Lincoln Place,46
2971,104644397,40.3701985,-79.9128326,0,Lincoln Place,46
2972,104644416,40.3724837,-79.9147479,0,Lincoln Place,46
2973,104644438,40.3721251,-79.9123553,0,Lincoln Place,46
3141,104651101,40.376562,-79.914443,0,Lincoln Place,46
3142,104651110,40.3755479,-79.9158156,0,Lincoln Place,46
3143,104651117,40.3753236,-79.9165753,0,Lincoln Place,46
4527,2611406546,40.3878435,-79.9208896,0,New Homestead,55
4793,104741437,40.3780227,-79.9084672,0,Lincoln Place,46
5020,104741442,40.3768952,-79.9093316,0,Lincoln Place,46
5021,104774414,40.375581,-79.9103427,0,Lincoln Place,46
5022,104774423,40.3741946,-79.9114825,0,Lincoln Place,46
5023,104774446,40.3730184,-79.9121509,0,Lincoln Place,46
5024,104774455,40.3704305,-79.9127752,0,Lincoln Place,46
5155,104519945,40.3758568,-79.91819,0,Lincoln Place,46
5156,104781449,40.3781778,-79.9143914,0,Lincoln Place,46
5609,2611571771,40.3823455,-79.9208816,0,New Homestead,55
5610,104805653,40.3819076,-79.9204394,0,New Homestead,55
5611,104805664,40.3793375,-79.9182269,0,Lincoln Place,46
5917,104825123,40.38801,-79.9196605,0,New Homestead,55
5918,2611406588,40.3881703,-79.9196306,0,New Homestead,55
7793,104945772,40.3778392,-79.9102868,0,Lincoln Place,46
7794,104945779,40.3761409,-79.911572,0,Lincoln Place,46
7795,104945787,40.3747547,-79.9126727,0,Lincoln Place,46
7796,104945816,40.3738853,-79.913427,0,Lincoln Place,46
7797,104945880,40.3752921,-79.9176074,0,Lincoln Place,46
9802,105063559,40.3805881,-79.9148068,0,Lincoln Place,46
9803,105063566,40.3802807,-79.9156743,0,Lincoln Place,46
9804,105063585,40.3798901,-79.9168038,0,Lincoln Place,46
10934,105134553,40.3787292,-79.9106978,0,Lincoln Place,46
10935,105134573,40.3780409,-79.9114513,0,Lincoln Place,46
10936,105134584,40.3773075,-79.9122564,0,Lincoln Place,46
10937,105134597,40.376755,-79.9128776,0,Lincoln Place,46
13205,105696998,40.382569,-79.9191181,0,New Homestead,55
13594,104214302,40.3927187,-79.9153859,0,New Homestead,55
14263,2611405950,40.3803506,-79.9216479,0,New Homestead,55
14264,3470134595,40.3818652,-79.9225886,0,New Homestead,55
14318,104214311,40.3920087,-79.9159267,0,New Homestead,55
14413,104945692,40.3751883,-79.9153096,0,Lincoln Place,46
14414,105757408,40.3743602,-79.914148,0,Lincoln Place,46
15649,105848168,40.3874633,-79.9178105,0,New Homestead,55
15650,104727692,40.3878614,-79.920806,0,New Homestead,55
15651,105746676,40.3876765,-79.9220684,0,New Homestead,55
16098,2611571696,40.378609,-79.9106174,0,Lincoln Place,46
16200,105891626,40.3884339,-79.9230555,0,New Homestead,55
16391,105906276,40.378474,-79.9135199,0,Lincoln Place,46
17168,105964446,40.3950161,-79.9169949,0,New Homestead,55
17169,105964455,40.3951446,-79.9175634,0,New Homestead,55
17338,105975652,40.3792921,-79.911242,0,Lincoln Place,46
17339,105975663,40.3788795,-79.9123847,0,Lincoln Place,46
17444,105982871,40.380169,-79.913172,0,Lincoln Place,46
17655,105995289,40.3736868,-79.9158486,0,Lincoln Place,46
17656,3158858138,40.3723828,-79.9147306,0,Lincoln Place,46
17766,106002108,40.3752059,-79.9136964,0,Lincoln Place,46
17842,106007016,40.383672,-79.917061,0,New Homestead,55
18626,104945683,40.3755944,-79.9145674,0,Lincoln Place,46
18627,2611571652,40.3754732,-79.9143063,0,Lincoln Place,46
19440,2611571746,40.3806315,-79.9116883,0,Lincoln Place,46
19441,106119865,40.3805236,-79.9116818,0,Lincoln Place,46
19442,106119893,40.3774883,-79.9101868,0,Lincoln Place,46
21501,107595870,40.3796208,-79.9255391,0,Hays,38
24362,104463863,40.3710697,-79.9150185,0,Lincoln Place,46
24363,105063626,40.3790255,-79.9238249,0,Lincoln Place,46
25948,107703888,40.389867,-79.9207113,0,New Homestead,55
25949,2611571654,40.3756782,-79.9143761,0,Lincoln Place,46
25950,2611571657,40.3758509,-79.9139817,0,Lincoln Place,46
26433,104463802,40.371827,-79.915218,0,Lincoln Place,46
26434,3158858135,40.3708394,-79.9131287,0,Lincoln Place,46
26435,3158858137,40.3712932,-79.913456,0,Lincoln Place,46
26436,3158858117,40.371879,-79.914154,0,Lincoln Place,46
26692,3470134596,40.3819581,-79.9237453,0,New Homestead,55
28010,105746681,40.3892819,-79.921735,0,New Homestead,55
228,104354103,40.4768287,-80.0106197,4,Perry North,61
283,104374066,40.476507,-80.0114656,4,Perry North,61
314,104381084,40.4684177,-80.0146553,4,Perry South,62
315,104381097,40.4686462,-80.0151025,4,Perry South,62
395,104694800,40.468077,-80.0192078,4,Perry South,62
463,104463159,40.4594284,-80.0009924,4,Fineview,33
474,104467279,40.4667182,-80.0201331,4,Perry South,62
475,104467286,40.4664839,-80.0197725,4,Perry South,62
672,104513492,40.4600685,-80.0171172,4,Perry South,62
851,104532409,40.472652,-80.0084414,4,Perry South,62
852,104532415,40.4734988,-80.0084887,4,Perry South,62
853,104532427,40.4743778,-80.0085201,4,Perry South,62
1293,104554416,40.4607605,-80.0032373,4,Fineview,33
1294,104554442,40.4616493,-80.0031821,4,Fineview,33
1332,5010208643,40.4757056,-80.012145,4,Perry North,61
2363,104613238,40.4726773,-80.0075989,4,Perry South,62
2364,104613243,40.4726668,-80.0080421,4,Perry South,62
2365,3881028320,40.4726539,-80.0083909,4,Perry South,62
2366,104613253,40.4726231,-80.0094014,4,Perry South,62
2492,104619973,40.4591678,-80.0079843,4,Fineview,33
2493,104619995,40.4588139,-80.0098319,4,Central Northside,19
2889,104638813,40.4669229,-80.0102742,4,Perry South,62
2890,104638821,40.467393,-80.010493,4,Perry South,62
2891,104638837,40.4678117,-80.0122827,4,Perry South,62
2894,104639309,40.4687672,-80.0095129,4,Perry South,62
2923,104613357,40.4723523,-80.0166247,4,Perry South,62
2924,104641223,40.4727912,-80.0166476,4,Perry South,62
3056,104647061,40.4574272,-80.0122072,4,Central Northside,19
3057,104647071,40.4579468,-80.0123825,4,Central Northside,19
3058,104647085,40.4584898,-80.0125657,4,Central Northside,19
3059,104647101,40.459072,-80.0127622,4,Central Northside,19
3077,104647894,40.4712813,-80.0072323,4,Perry South,62
3078,104647907,40.4740489,-80.0075592,4,Perry South,62
3255,104658219,40.4696269,-80.0135681,4,Perry South,62
3256,104658230,40.4698511,-80.0139691,4,Perry South,62
3308,104660037,40.4716961,-80.0131804,4,Perry South,62
3309,104660059,40.4716621,-80.0145424,4,Perry South,62
3618,104677289,40.4607811,-80.0232938,4,California-Kirkbride,15
3706,104681734,40.4670264,-80.0112068,4,Perry South,62
3707,104681740,40.4673152,-80.0134825,4,Perry South,62
3708,104681758,40.4671539,-80.0147196,4,Perry South,62
3808,106346415,40.4582581,-80.0075844,4,Central Northside,19
3809,104685318,40.4579005,-80.0095334,4,Central Northside,19
3810,104685327,40.4578083,-80.0100359,4,Central Northside,19
3811,104685333,40.4577198,-80.0105183,4,Central Northside,19
3812,104685347,40.4571851,-80.0135306,4,Central Northside,19
3865,104691224,40.473474,-80.0094298,4,Perry South,62
3896,104692485,40.4622201,-80.0019065,4,Fineview,33
3897,106109471,40.4619315,-80.0020755,4,Fineview,33
3898,2810382590,40.4612839,-80.0020202,4,Fineview,33
3955,104694780,40.4687344,-80.0168452,4,Perry South,62
3956,104694804,40.4679306,-80.0200831,4,Perry South,62
3957,104694815,40.4675671,-80.0219954,4,Perry South,62
4127,104705810,40.4616429,-80.0081756,4,Fineview,33
