source,target,id,osm_way_id,osm_bridge_relation_id,osm_bridge,osm_highway,osm_label,bridge_id,distance,within_boundaries
2,3,1,11651757,,,,Ainsworth Street,,24.76459467,TRUE
4,5,2,11651758,,,,Mount Avenue,,104.2151661,FALSE
5,6,3,11651758,,,,Mount Avenue,,158.2922819,FALSE
7,8,4,11651763,,,,Cabindale Drive,,392.1380774,FALSE
14,15,5,11651779,,,,Alan Street,,126.5951162,FALSE
15,16,6,11651779,,,,Alan Street,,91.24720588,FALSE
21,22,7,11651790,,,,Tulip Road,,44.69661099,FALSE
23,24,8,11651795,,,,Fairfield Avenue,,173.7268077,FALSE
24,25,9,11651795,,,,Fairfield Avenue,,132.0629963,FALSE
25,26,10,11651795,,,,Fairfield Avenue,,175.0248056,FALSE
26,27,11,11651795,,,,Fairfield Avenue,,107.2759977,FALSE
36,37,12,11651845,,,,Forest Avenue,,31.47902127,FALSE
39,40,13,11651845,,,,Forest Avenue,,82.46597383,FALSE
41,42,14,11651847,,,,Forest Avenue,,195.7487144,FALSE
42,43,15,11651847,,,,Forest Avenue,,219.6300224,FALSE
44,45,16,11651858,,,,Forest Avenue,,142.7302748,FALSE
45,46,17,11651858,,,,Forest Avenue,,128.9271062,FALSE
47,48,18,11651859,,,,Forest Avenue,,172.0283861,FALSE
49,50,19,11651864,,,,North Negley Avenue,,72.0851831,TRUE
50,51,20,11651864,,,,North Negley Avenue,,48.6981383,TRUE
51,52,21,11651864,,,,North Negley Avenue,,124.1294465,TRUE
52,53,22,11651864,,,,North Negley Avenue,,136.4114329,TRUE
53,54,23,11651864,,,,North Negley Avenue,,122.0224375,TRUE
56,57,24,11651881,,,,Davis Avenue,,177.2450985,FALSE
57,58,25,11651881,,,,Davis Avenue,,167.5642688,FALSE
58,59,26,11651881,,,,Davis Avenue,,83.82266766,FALSE
59,60,27,11651881,,,,Davis Avenue,,127.1750944,FALSE
60,61,28,11651881,,,,Davis Avenue,,117.075904,FALSE
63,64,29,11651886,,,,Davis Avenue,,133.8492879,FALSE
64,65,30,11651886,,,,Davis Avenue,,54.73832738,FALSE
66,67,31,11651886,,,,Davis Avenue,,90.89602987,FALSE
74,75,32,11651904,,,,Davis Avenue,,10.62253269,TRUE
76,77,33,11651904,,,,Davis Avenue,,285.7214163,TRUE
81,82,34,11652003,,,,,,55.08015585,TRUE
81,83,35,11853648,,,,Escolta Street,,41.11812439,TRUE
83,84,36,11652013,,,,,,59.40329331,TRUE
101,102,37,11652388,,,,,,8.210534524,FALSE
122,123,38,11652950,,,,,,52.50201491,FALSE
125,126,39,11653117,,,,,,35.5229989,FALSE
126,127,40,11653117,,,,,,27.7978729,FALSE
127,128,41,11653117,,,,,,30.57626545,FALSE
