X,Y,id,modularity,hood_no,hood
580925.4259,4481594.074,685113899,0,13,Brighton Heights
581120.8735,4481411.662,685113903,0,13,Brighton Heights
582074.9599,4481097.461,105972460,0,13,Brighton Heights
582594.3223,4481888.091,105972492,0,13,Brighton Heights
582225.2698,4481155.052,105972540,0,13,Brighton Heights
582446.0606,4481475.542,105121497,0,13,Brighton Heights
581046.9157,4481927.48,104794734,0,13,Brighton Heights
581879.815,4481166.417,105712495,0,13,Brighton Heights
581826.0634,4481153.65,105712499,0,13,Brighton Heights
580877.4694,4482074.816,3637906632,0,13,Brighton Heights
582266.5149,4481524.865,105188767,0,13,Brighton Heights
582120.1783,4481456.626,105188789,0,13,Brighton Heights
581409.4357,4480952.098,105254585,0,13,Brighton Heights
581383.2676,4481060.186,105254597,0,13,Brighton Heights
581333.5944,4481260.083,105254608,0,13,Brighton Heights
581250.9982,4481594.251,105254620,0,13,Brighton Heights
581249.7175,4481765.989,105254631,0,13,Brighton Heights
581306.3476,4481368.56,104993726,0,13,Brighton Heights
581182.3003,4481338.115,104993731,0,13,Brighton Heights
582119.5243,4481958.597,105913990,0,13,Brighton Heights
580855.2348,4481636.6,105259405,0,13,Brighton Heights
582154.8256,4481147.762,104538620,0,13,Brighton Heights
581788.0948,4481101.513,105718294,0,13,Brighton Heights
581111.9788,4481349.32,684597808,0,13,Brighton Heights
581244.2226,4481353.308,104669987,0,13,Brighton Heights
581203.3368,4481517.311,104669997,0,13,Brighton Heights
581189.3687,4481573.344,104670006,0,13,Brighton Heights
581581.0789,4480960.295,106046694,0,13,Brighton Heights
581485.4282,4481297.793,106046712,0,13,Brighton Heights
581923.0562,4481137.216,685124293,0,13,Brighton Heights
582264.0403,4481556.4,2515546358,0,13,Brighton Heights
581932.9751,4482114.581,2515546388,0,13,Brighton Heights
580991.0855,4481531.695,105854109,0,13,Brighton Heights
581972.7122,4481604.934,104675012,0,13,Brighton Heights
581997.0945,4481563.715,104675022,0,13,Brighton Heights
582072.5386,4481419.368,104675040,0,13,Brighton Heights
