Source,Target,Type,Id,Label,timeset,Weight,junction,access,service,tunnel,maxspeed,bridge,ref,osmid,oneway,name,distance,lanes,highway,geometry,bridge-size
1,1,Undirected,8,Penn-Lincoln Parkway East,,10,,,,,55 mph,yes,I 376;US 22,"[551184771, 551184772, 54511626, 54511632, 54511633, 54511647]",TRUE,Penn-Lincoln Parkway East,320.047,"['3', '4']",motorway,"LINESTRING (595823.1779786529 4476434.287942817, 595911.6679968883 4476527.800158739, 595933.622682302 4476551.006933821, 595994.1293495855 4476614.952502614, 596021.7676812572 4476642.762011874, 596034.8043478132 4476655.496614455, 596044.8855984132 4476665.173598832)",10
1,1,Undirected,42,Penn-Lincoln Parkway East,,10,,,,,55 mph,yes,I 376;US 22,"[551184770, 54511628, 54511630, 54511635, 54511637, 54511638, 54511640, 551184765]",TRUE,Penn-Lincoln Parkway East,1136.425,2,motorway,"LINESTRING (596537.9054866735 4477118.668066905, 596212.9739068339 4476830.152952692, 596195.4106449169 4476814.562176537, 596062.5937409805 4476696.641763481, 596042.9193917295 4476678.25989155, 596023.6819289261 4476659.539511519, 596010.7220146668 4476646.772606097, 595986.3585399669 4476622.246888079, 595925.8518698941 4476558.30138145, 595903.8970413692 4476535.105729125, 595715.0372549131 4476335.507681697)",10
2,7,Undirected,130,Pittsburgh McKeesport Boulevard,,10,,,,,,yes,,"[55096209, 11823668, 55096207]",FALSE,Pittsburgh McKeesport Boulevard,670.849,,primary,"LINESTRING (593561.5758699973 4467854.378329113, 593581.6696154763 4467848.988904512, 593601.2817937281 4467839.30825147, 593619.692295396 4467825.194170609, 593631.4306768463 4467810.80824549, 593640.4479389298 4467796.010960743, 593646.7123997346 4467779.935974347, 593651.9741614293 4467758.453035183, 593659.0211466213 4467712.313129204, 593669.3178822416 4467648.040156752, 593671.9430038474 4467623.460273098, 593674.1533554407 4467588.550578881, 593675.5415621909 4467477.206101159, 593677.865285944 4467455.686552568, 593682.533662088 4467435.49514464, 593694.1140757021 4467400.458058411, 593710.4007459334 4467364.003148246, 593725.4234108573 4467328.798104852, 593737.4768714816 4467302.848222192, 593746.8891630447 4467287.767335175, 593757.5216625963 4467275.643651358, 593778.3435830468 4467259.683813414)",10
2,2,Undirected,211,Chartiers Avenue,,10,,,,,,yes,,"[11833162, 54583030, 54583031]",FALSE,Chartiers Avenue,74.417,2,tertiary,"LINESTRING (580170.6000844587 4478423.335449673, 580170.3844259944 4478433.180088939, 580168.7387326382 4478461.737491346, 580167.2301297127 4478480.660340496, 580165.8968632441 4478497.464698652)",10
6,0,Undirected,301,PA 65,,10,,,,,40 mph,yes,PA 65,"[54362073, 54362028, 395478950, 572979231]",TRUE,,1359.063,2,motorway,"LINESTRING (581139.2892366354 4481295.684884954, 581219.0497138759 4481163.165971504, 581289.6174407016 4481050.686083893, 581495.417168378 4480715.428404877, 581526.7367064509 4480658.452575987, 581540.0908166994 4480628.779473809, 581543.0440366071 4480623.072184038, 581614.7653394812 4480468.68851462, 581675.5349893497 4480338.420518787, 581691.8709387868 4480300.542908237, 581704.5296158212 4480265.567076184, 581717.715004388 4480228.176889717, 581730.0344294966 4480194.784908057, 581739.6543801811 4480167.136237352, 581753.0639257679 4480128.660611707, 581766.1495456779 4480095.787725859)",10
2,2,Undirected,404,Lowe Street,,10,,,,,,yes,,"[318681960, 11824273, 318681961]",FALSE,Lowe Street,90.817,2,unclassified,"LINESTRING (582171.9994953526 4476325.974304882, 582185.423339145 4476349.601103578, 582192.3599004785 4476359.879426964, 582198.0976225061 4476367.31373543, 582220.8456101362 4476402.388587594)",10
8,0,Undirected,517,Butler Street,,10,,,,,,yes,,"[68168416, 68168417, 11833346, 462622036]",FALSE,Butler Street,367.178,"['3', '2']",tertiary,"LINESTRING (589374.2964870635 4483979.426030327, 589383.6102561556 4483977.99424745, 589390.4109903551 4483976.943189347, 589396.8407556978 4483975.732274074, 589401.5815276848 4483974.734300748, 589406.2844485694 4483973.358413907, 589410.7646975368 4483971.469180038, 589415.1318984656 4483969.112317666, 589418.7793933062 4483966.702439937, 589423.2676703384 4483962.72615704, 589442.4810118722 4483942.783947763, 589447.9539147889 4483936.554679384, 589451.4823627025 4483932.0562398, 589454.7217872726 4483927.632055793, 589458.7910389103 4483921.14175448, 589460.9711261212 4483917.426515953, 589463.7710344975 4483912.197740026, 589465.0225713711 4483909.592677806, 589471.8981583206 4483893.799297413, 589485.796054374 4483860.582335271, 589488.8618644958 4483852.259328383, 589490.7630873381 4483847.064209851, 589492.198367754 4483842.562931161, 589493.0137185291 4483838.875768989, 589493.5577831066 4483835.196460623, 589493.8651522748 4483830.759390809, 589494.1460020194 4483824.290360401, 589494.227268681 4483813.256069911, 589495.456709458 4483697.122987906, 589495.810962142 4483668.950677183)",10
1,1,Undirected,787,Pennwood Avenue,,10,,,,,,yes,,"[319966547, 374962604, 54571621, 54571629]",FALSE,Pennwood Avenue,310.822,,tertiary,"LINESTRING (594467.7686026091 4476957.996152141, 594467.0900789242 4476961.35149127, 594450.1815439052 4477058.413712907, 594447.2225894533 4477074.440951397, 594433.7950505053 4477147.067263997, 594431.1540512992 4477164.119898701, 594417.0565442319 4477241.467234984, 594413.1529010254 4477249.677894654, 594405.1054284621 4477260.256556475)",10
1,1,Undirected,842,28th Street Bridge,,10,,,,,,yes,,"[25373912, 55151530, 25373903]",FALSE,28th Street Bridge,214.001,2,tertiary,"LINESTRING (587088.0998540348 4478832.707898965, 587078.5444242336 4478844.209111458, 587013.1357674198 4478914.976737471, 587006.3131675404 4478920.470485992, 587000.2921961637 4478924.119575313, 586994.0964292063 4478926.756384859, 586986.2200374474 4478928.79638349, 586977.7089458051 4478929.26367868, 586969.495073905 4478928.235709226, 586962.3339576436 4478925.643539078, 586957.5069052848 4478922.87865717, 586948.7082063855 4478915.982229573, 586938.5407334642 4478906.461021815, 586932.5216713189 4478901.184435581, 586925.8679836219 4478895.056757811)",10
10,0,Undirected,971,,,10,,,,,,yes,,"[54349984, 54349989]",TRUE,,560.68,1,motorway_link,"LINESTRING (584559.619189791 4478138.170833097, 584472.9095785983 4478123.115364796, 584417.1816432578 4478112.506596328, 584332.9435798692 4478095.582260564, 584259.765151174 4478080.859313499, 584187.589707962 4478066.670138641, 584162.3998843888 4478060.725185839, 584151.0790857512 4478056.068521959, 584138.6500133208 4478048.901573225, 584128.274706066 4478040.85849321, 584115.0069252647 4478027.565207184, 584098.5811361789 4478011.516598944, 584079.6383222052 4477996.805257987, 584066.5195800413 4477989.863822986, 584048.4001735949 4477982.633150839, 584031.8090599357 4477978.272771133)",10
