Id,Label,timeset,d9,d8,d7,d6,d5,d2,d1,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,Cluter-ID,clustering,triangles,eigencentrality
105709569,105709569,,,,4482986.521881,579544.142811,POINT (579544.1428105909 4482986.521881316),105709569,-80.0613407,40.4937717,3,3,82,0.023402,0.026953,0.00008,66,0.000057,0,0,0,0,0.26054
316145672,316145672,,,,4478482.54559,584668.022089,POINT (584668.0220889435 4478482.545589782),316145672,-80.0014861,40.4526944,3,3,66,0.032739,0.037726,0.000433,56,0.000059,0,0,0,0,0.206209
4138729482,4138729482,,,,4477132.603356,585581.18328,POINT (585581.1832804433 4477132.603355961),4138729482,-79.9909004,40.440441,3,3,60,0.035395,0.04101,0.000616,30,0.000053,1,0,0.333333,1,0.345977
686555158,686555158,,78A,motorway_junction,4476434.287943,595823.177979,POINT (595823.1779786529 4476434.287942817),686555158,-79.870262,40.4330339,3,12,57,0.034306,0.039747,0.041252,4,0.000064,1,0,0,0,0.147617
1707606038,1707606038,,,,4469826.913167,585531.891699,POINT (585531.8916986331 4469826.913167264),1707606038,-79.9924634,40.3746381,1,1,73,0.022788,0.026492,0,44,0.000031,2,0,0,0,0.043731
104923160,104923160,,,,4478491.058665,575573.975011,POINT (575573.9750109494 4478491.058665277),104923160,-80.1087207,40.4536477,1,1,82,0.02175,0.024785,0,58,0.000032,3,0,0,0,0.042793
105906206,105906206,,,,4480462.791597,595169.982466,POINT (595169.9824662867 4480462.791597025),105906206,-79.8773579,40.4693951,3,3,82,0.022195,0.026984,0.004903,28,0.000065,1,0,0,0,0.197313
104792096,104792096,,,,4482730.265138,587285.045108,POINT (587285.0451075699 4482730.26513845),104792096,-79.970043,40.4906855,3,3,79,0.024524,0.028123,0.000445,14,0.000079,0,0,0,0,0.111589
105709612,105709612,,,,4468494.109932,584232.581918,POINT (584232.5819184824 4468494.109931616),105709612,-80.0079427,40.3627647,3,3,79,0.020185,0.023785,0.000416,44,0.000064,2,0,0,0,0.186742
686555187,686555187,,,,4476096.485023,595386.228809,POINT (595386.2288090799 4476096.485023441),686555187,-79.8754633,40.4300414,3,3,61,0.030727,0.035532,0.008329,1,0.000061,1,0,0,0,0.204941
105185332,105185332,,,,4470228.638064,582610.283109,POINT (582610.2831092571 4470228.638064308),105185332,-80.0268221,40.3785515,3,3,80,0.02009,0.02408,0.001094,57,0.000062,2,0,0.333333,1,0.222127
837156948,837156948,,,,4483371.946845,589689.790047,POINT (589689.7900471963 4483371.946844853),837156948,-79.9415809,40.4962091,3,3,75,0.027368,0.03192,0.000011,14,0.000058,0,0,0,0,0.23548
837156949,837156949,,,,4483524.928015,589533.054569,POINT (589533.0545685277 4483524.928014921),837156949,-79.9434086,40.497604,3,3,76,0.026687,0.031146,0.000166,14,0.000059,0,0,0,0,0.204612
105185365,105185365,,,,4469927.404909,582762.66923,POINT (582762.669229936 4469927.40490893),105185365,-80.0250663,40.3758229,3,3,80,0.020028,0.023835,0.000689,57,0.000064,2,0,0.333333,1,0.217152
837156953,837156953,,,,4483405.555208,589529.814439,POINT (589529.8144390252 4483405.55520779),837156953,-79.9434637,40.4965291,3,3,78,0.025362,0.029236,0.000004,14,0.00006,0,0,0,0,0.187238
837156954,837156954,,,,4483211.843525,589310.237792,POINT (589310.2377915566 4483211.84352537),837156954,-79.9460818,40.4948079,3,3,72,0.029451,0.03493,0.004176,14,0.000061,0,0,0,0,0.183853
837156956,837156956,,,,4483374.525371,589537.220563,POINT (589537.2205630643 4483374.525371339),837156956,-79.9433807,40.4962488,1,1,79,0.024701,0.027959,0,14,0.000029,0,0,0,0,0.047879
686555229,686555229,,78B,motorway_junction,4477118.668067,596537.905487,POINT (596537.9054866735 4477118.668066905),686555229,-79.8617331,40.4391157,3,12,59,0.032038,0.037223,0.03829,46,0.000065,1,0,0,0,0.15746
105906276,105906276,,,,4470332.041754,592228.465768,POINT (592228.4657684778 4470332.041753709),105906276,-79.9135199,40.378474,4,4,76,0.022129,0.026032,0.000429,67,0.000077,2,0,0,0,0.311301
104464490,104464490,,,,4482306.779626,589649.157739,POINT (589649.1577386265 4482306.779625664),104464490,-79.942211,40.486619,3,3,77,0.026978,0.031988,0.010235,35,0.000074,1,0,0,0,0.132116
686555261,686555261,,,,4476176.576477,594593.831876,POINT (594593.8318763986 4476176.576476727),686555261,-79.8847915,40.4308533,1,1,64,0.027591,0.030603,0,4,0.000034,1,0,0,0,0.037598
106037373,106037373,,,,4480185.980497,594421.257307,POINT (594421.257307136 4480185.980496923),106037373,-79.8862296,40.4669872,3,3,88,0.019816,0.023944,0.001098,28,0.00006,1,0,0,0,0.177496
104464511,104464511,,,,4482378.187844,589594.594992,POINT (589594.5949917205 4482378.187844284),104464511,-79.9428446,40.4872681,1,1,78,0.026269,0.030632,0,35,0.00003,1,0,0,0,0.046235
104923270,104923270,,,,4471127.202192,581871.567332,POINT (581871.5673319966 4471127.20219162),104923270,-80.0354078,40.3867186,3,3,86,0.0206,0.024316,0.001345,25,0.000056,2,0,0,0,0.264011
106037383,106037383,,,,4480359.067466,594420.006001,POINT (594420.0060011694 4480359.067466474),106037383,-79.8862186,40.4685464,3,3,85,0.020902,0.025218,0.002001,28,0.000061,1,0,0,0,0.175881
104923279,104923279,,,,4471067.866665,581806.519096,POINT (581806.5190961084 4471067.866665449),104923279,-80.0361817,40.3861905,3,3,86,0.020566,0.024116,0.000018,25,0.000059,2,0,0.333333,1,0.239851
104595608,104595608,,,,4482110.029986,589850.609652,POINT (589850.6096517781 4482110.029986233),104595608,-79.9398623,40.484825,1,1,86,0.022018,0.025102,0,35,0.000028,1,0,0,0,0.081698
