node_index,bridge_id,direction
510,4184571,to
1528,24957173,from
1528,24957173,to
1791,54358135,to
2868,4559140,from
2868,4559140,to
3650,6085521,from
3650,6085521,to
4373,9219372,from
4373,9219372,to
7093,11691260,from
7093,11691260,to
7094,11691260,from
7094,11691260,to
11627,3557515,from
11627,3557515,to
13166,5424559,from
13166,5424559,from
13166,5424559,to
13166,5424559,to
13167,5424559,from
13167,5424559,from
13167,5424559,to
13167,5424559,to
13758,9248354,from
13758,9248354,to
14269,208944245,from
14269,208944245,to
20695,3987007,from
20695,3987007,to
20696,3987007,from
20696,3987007,from
20696,3987007,to
20696,3987007,to
20697,3987007,from
20697,3987007,from
20697,3987007,to
20697,3987007,to
20698,3987007,from
20698,3987007,to
21708,3987006,from
21708,3987006,to
24903,677521081,from
24903,677521081,to
27958,9229091,from
27958,9229091,to
29816,4245922,from
29816,4245922,to
31446,3557517,from
31446,3557517,to
31865,54455398,from
31865,54455398,to
34352,161498893,from
34352,161498893,to
35296,168458166,from
35296,168458166,to
35384,3979944,from
35384,3979944,to
37287,3903716,from
41487,6085521,from
41487,6085521,to
41488,6085521,from
41488,6085521,from
41488,6085521,to
41488,6085521,to
41489,6085521,from
41489,6085521,from
41489,6085521,to
41489,6085521,to
41490,6085521,from
41490,6085521,from
41490,6085521,to
41490,6085521,to
42363,11803761,from
42363,11803761,to
42364,11803761,from
42364,11803761,to
43924,9219412,from
43924,9219412,to
45960,318681953,from
45960,318681953,to
46314,9219295,from
46314,9219295,to
46315,9219295,from
46315,9219295,to
49559,7875989,from
49559,7875989,to
49560,7875989,from
49560,7875989,to
49868,9233486,from
49868,4246070,to
49869,9233486,from
49869,9233486,to
50896,4246071,from
50896,9248115,from
50896,9248115,from
50896,9248115,to
50896,9248115,to
50896,4246071,to
50897,4246071,from
50897,4246071,from
50897,4246071,to
50897,4246071,to
52822,9244482,from
52822,9244482,to
52823,9244482,from
52823,9244482,to
54292,11823407,from
54292,11823407,to
54293,11823407,from
54293,11823407,from
54293,11823407,to
54293,11823407,to
54294,11823407,from
54294,11823407,to
54990,318681961,from
54990,318681961,to
58437,318681971,from
58437,318681971,to
61251,4245928,from
61251,4245928,to
62104,3903718,from
62105,3903718,from
62105,3903718,to
62106,3903718,from
62106,3903718,to
62107,3903718,from
62107,3903718,to
62108,3903718,from
62108,3903718,to
62109,3903718,from
62109,3903718,to
62110,3903718,from
62110,3903718,to
62111,3903718,from
62111,3903718,to
62263,54583031,from
62263,54583031,to
62587,55321245,from
62587,55321245,to
65334,9219368,from
65334,9219368,to
65818,307763095,from
65818,307763095,to
65938,9219409,from
65938,9219409,to
65976,11836017,from
65976,11836017,to
65977,11836017,from
65977,11836017,to
77115,9053095,from
78455,54507812,from
78455,54507812,to
78595,4246069,from
78595,4246069,to
78595,4246069,to
78596,4246069,from
78596,4246069,to
78916,3979944,from
78916,3979944,to
78917,3979944,from
78917,3979944,from
78917,3979944,to
78917,3979944,to
79252,132781826,from
79252,132781826,to
79437,9219299,from
79437,9219299,to
80594,11952776,from
80594,11952776,to
80595,11952776,from
80595,11952776,to
82187,461112672,from
82187,461112672,to
82268,9053086,from
82268,9053086,to
82369,3987005,from
82369,3987005,to
83123,3987006,from
83123,3987006,to
84181,9219367,from
84181,9219367,to
84182,9219367,from
84182,9219367,from
84182,9219367,to
84182,9219367,to
87054,7875981,from
87054,7875981,to
87155,9219368,from
87155,9219368,to
87553,9219370,from
87553,9219370,to
87571,9155851,from
87571,9155851,to
87572,9155851,from
87572,9155851,to
87579,3903716,from
87579,3903716,to
87589,9219369,from
87589,9219369,to
87590,9219369,from
87590,9219369,to
87592,9219372,from
87592,9219372,to
87609,4245926,from
87609,4245926,from
87609,4245926,to
