index,step_id,edge_id,bundle_id,times_edge_crossed,times_bundle_crossed
1,1,122001,,1,
2,1,122002,,1,
3,1,255087,,1,
4,1,255086,,1,
5,1,255085,,1,
6,1,255084,,1,
7,1,255083,,1,
8,1,255082,,1,
9,1,255081,,1,
10,1,255080,,1,
11,1,255079,,1,
12,1,255078,,1,
13,1,255077,,1,
14,1,255076,,1,
15,1,255075,,1,
16,1,255074,,1,
17,1,122181,,1,
18,1,122182,,1,
19,1,122183,,1,
20,1,122184,,1,
21,1,122185,,1,
22,1,122186,,1,
23,1,122187,,1,
24,1,122188,,1,
25,1,122189,,1,
26,1,73620,,1,
27,1,73621,,1,
28,1,242770,,1,
29,1,242769,,1,
30,1,242768,,1,
31,1,242767,,1,
32,1,242766,,1,
33,1,242765,,1,
34,1,242764,,1,
35,2,254324,149,1,1
36,3,254325,,1,
37,3,91358,,1,
38,3,91359,,1,
39,3,91360,,1,
40,3,91361,,1,
41,3,103675,,1,
42,3,103676,,1,
43,3,103677,,1,
44,3,103678,,1,
45,3,103679,,1,
46,3,103680,,1,
47,3,103681,,1,
48,3,103682,,1,
49,3,103683,,1,
50,3,103684,,1,
51,3,103685,,1,
52,3,142712,,1,
53,3,142713,,1,
54,3,142714,,1,
55,3,142693,,1,
56,3,142694,,1,
57,3,142695,,1,
58,3,142696,,1,
59,3,142697,,1,
60,3,142698,,1,
61,3,142689,,1,
62,3,142740,,1,
63,3,142741,,1,
64,3,142742,,1,
65,3,142743,,1,
66,4,142683,175,1,1
67,4,142684,175,1,1
68,4,142685,175,1,1
69,4,142686,175,1,1
70,4,142705,175,1,1
71,4,142706,175,1,1
72,4,142707,175,1,1
73,4,142704,175,1,1
74,4,142732,175,1,1
75,4,142733,175,1,1
76,4,142734,175,1,1
77,4,142735,175,1,1
78,4,142727,175,1,1
79,4,142728,175,1,1
80,4,142729,175,1,1
81,4,142730,175,1,1
82,4,142731,175,1,1
83,5,142701,176,1,1
84,5,142702,176,1,1
85,6,142675,,1,
86,6,142676,,1,
87,6,142703,,1,
88,6,142717,,1,
89,6,142718,,1,
90,6,142672,,1,
91,6,142716,,1,
92,6,142673,,1,
93,7,142715,177,1,1
94,8,142711,,1,
95,8,142719,,1,
96,8,142720,,1,
97,8,142721,,1,
98,8,142722,,1,
99,8,142723,,1,
100,8,142724,,1,
101,8,142725,,1,
102,8,142726,,1,
103,8,103675,,2,
104,8,103676,,2,
105,8,103677,,2,
106,8,103678,,2,
107,8,103679,,2,
108,8,103680,,2,
109,8,103681,,2,
110,8,103682,,2,
111,8,103683,,2,
112,8,103684,,2,
113,8,103685,,2,
114,8,142712,,2,
115,8,142713,,2,
116,8,142714,,2,
117,8,142693,,2,
118,8,142694,,2,
119,8,142695,,2,
120,8,142696,,2,
121,8,142697,,2,
122,8,142698,,2,
123,8,272078,,1,
124,8,272077,,1,
125,8,217718,,1,
126,8,217717,,1,
127,8,217716,,1,
128,8,217715,,1,
129,8,217714,,1,
130,8,217713,,1,
131,8,217712,,1,
132,8,217711,,1,
133,8,217710,,1,
134,8,217709,,1,
135,8,217708,,1,
136,8,217707,,1,
137,8,217706,,1,
138,8,217705,,1,
139,8,217704,,1,
140,8,217703,,1,
141,8,217702,,1,
142,8,217701,,1,
143,8,217700,,1,
144,8,217699,,1,
145,8,50106,,1,
146,8,50107,,1,
147,8,50108,,1,
148,8,50109,,1,
149,8,50110,,1,
150,8,50111,,1,
151,8,50112,,1,
152,8,50113,,1,
153,8,50114,,1,
154,8,50115,,1,
155,8,248012,,1,
