from,to,id,osm_way_id,osm_bridge_relation_id,osm_bridge,osm_highway,osm_label,bridge_id,distance,within_boundaries
1,2,1,11651757,,,,,,718.7743358580274,
2,3,2,11651757,,,,,,49.52918934376904,
4,5,3,11651758,,,,,,208.43033228571258,
5,6,4,11651758,,,,,,316.58456374319815,
7,8,5,11651763,,,,,,784.2761548337706,
9,10,6,11651766,,,,,,530.6409132322624,
13,14,7,11651779,,,,,,253.19023246174228,
14,15,8,11651779,,,,,,182.4944117524711,
16,17,9,11651782,,,,,,360.9592465445161,
18,19,10,11651790,,,,,,193.59385947185115,
19,20,11,11651790,,,,,,165.64850428664872,
20,21,12,11651790,,,,,,89.39322197293558,
22,23,13,11651795,,,,,,347.45361537698375,
23,24,14,11651795,,,,,,264.1259925852559,
24,25,15,11651795,,,,,,350.04961117974244,
25,26,16,11651795,,,,,,214.55199546153668,
27,28,17,11651799,,,,,,422.1691649868887,
28,29,18,11651799,,,,,,351.21450650089605,
30,31,19,11651814,,,,,,285.7116702369138,
31,32,20,11651814,,,,,,224.6273228408108,
33,34,21,11651818,,,,,,659.3740012092625,
35,36,22,11651845,,,,,,62.958042540759394,
36,37,23,11651845,,,,,,237.48234767302284,
37,38,24,11651845,,,,,,195.7736059769113,
38,39,25,11651845,,,,,,164.93194765935561,
40,41,26,11651847,,,,,,391.4974288926876,
41,42,27,11651847,,,,,,439.26004480341504,
43,44,28,11651858,,,,,,285.4605495313131,
44,45,29,11651858,,,,,,257.85421245244066,
46,47,30,11651859,,,,,,344.0567722271588,
48,49,31,11651864,,,,,,144.17036620980755,
49,50,32,11651864,,,,,,97.39627659970661,
50,51,33,11651864,,,,,,248.25889305139705,
51,52,34,11651864,,,,,,272.8228657418628,
52,53,35,11651864,,,,,,244.04487496822316,
22,55,36,11826275,,,,,,168.84356295512538,
23,56,37,11708104,,,,,,165.68744686579728,
55,56,38,11651881,,,,,,354.4901970919385,
24,57,39,11948869,,,,,,178.75173085337184,
56,57,40,11651881,,,,,,335.12853765233024,
57,58,41,11651881,,,,,,167.64533531017887,
25,59,42,11687040,,,,,,164.42305600590453,
58,59,43,11651881,,,,,,254.3501887293146,
26,60,44,11690844,,,,,,171.69615738992377,
59,60,45,11651881,,,,,,234.1518080093103,
62,63,46,11651886,,,,,,267.698575723593,
63,64,47,11651886,,,,,,109.47665475000517,
64,65,48,11651886,,,,,,388.29621520725783,
65,66,49,11651886,,,,,,181.79205974829932,
68,69,50,11651895,,,,,,276.44849983985426,
69,70,51,11651895,,,,,,96.0215182132925,
70,71,52,11651895,,,,,,204.2700751380557,
72,73,53,11651904,,,,,,159.31063878342965,
73,74,54,11651904,,,,,,21.24506538522687,
74,75,55,11651904,,,,,,260.89991434312236,
28,76,56,11710836,,,,,,172.62664064581543,
75,76,57,11651904,,,,,,571.442832575848,
29,77,58,405681460,,,,,,146.2725853010034,
76,77,59,11651904,,,,,,197.70870217534178,
78,79,60,11651952,,,,,,66.10883165119394,
80,81,61,11652003,,,,,,110.16031169858438,
80,82,62,11853648,,,,,,82.23624877537999,
82,83,63,11652013,,,,,,118.80658661173257,
84,85,64,11652015,,,,,,271.6545378120613,
85,86,65,11652015,,,,,,535.4962059977274,
88,89,66,11652220,,,,,,102.14044256624852,
90,91,67,11652242,,,,,,289.53861509531407,
92,93,68,11652279,,,,,,840.3991292862486,
93,94,69,11652279,,,,,,87.49541940430959,
95,96,70,11652296,,,,,,257.958003429068,
97,98,71,11652297,,,,,,321.42079655855036,
99,100,72,11652375,,,,,,197.0631893830412,
101,102,73,11652388,,,,,,16.42106904772891,
102,103,74,11652388,,,,,,276.4874331672541,
103,104,75,11652388,,,,,,1956.2841521834903,
106,107,76,11652460,,,,,,68.2725689112995,
113,114,77,11652868,,,,,,645.8511659697693,
115,116,78,11652878,,,,,,265.54938732576613,
117,118,79,11652898,,,,,,715.222133502607,
121,122,80,11652950,,,,,,292.2729438278601,
121,123,81,11812367,,,,,,355.24203223972074,
122,123,82,11652950,,,,,,105.00402981826169,
125,126,83,11653117,,,,,,71.04599779884425,
126,127,84,11653117,,,,,,55.59574579486333,
127,128,85,11653117,,,,,,61.15253089091503,
125,129,86,11653117,,,,,,148.46232315605425,
130,131,87,11653135,,,,,,46.93494479792421,
131,132,88,11653135,,,,,,78.29508350753429,
132,133,89,11653135,,,,,,221.85629644504724,
131,134,90,11653137,,,,,,151.4534987516901,
137,138,91,11653200,,,,,,236.12138906783846,
138,139,92,11653200,,,,,,554.4786363993725,
139,140,93,11653200,,,,,,86.15899229450392,
138,141,94,11653216,,,,,,156.48781513345875,
139,141,95,234983304,,,,,,354.93978882865207,
142,143,96,11653242,,,,,,181.53117100509905,
146,147,97,11653433,,,,,,270.2787843059781,
150,151,98,11653595,,,,,,117.6806902724752,
