from,to,id,osm_way_id,osm_bridge_relation_id,osm_bridge,osm_highway,osm_label,bridge_id,distance,within_boundaries
2,3,1,11651757,,,,Ainsworth Street,,24.76459467188452,TRUE
4,5,2,11651758,,,,Mount Avenue,,104.21516614285629,FALSE
5,6,3,11651758,,,,Mount Avenue,,158.29228187159907,FALSE
7,8,4,11651763,,,,Cabindale Drive,,392.1380774168853,FALSE
14,15,5,11651779,,,,Alan Street,,126.59511623087114,FALSE
15,16,6,11651779,,,,Alan Street,,91.24720587623555,FALSE
21,22,7,11651790,,,,Tulip Road,,44.69661098646779,FALSE
23,24,8,11651795,,,,Fairfield Avenue,,173.72680768849187,FALSE
24,25,9,11651795,,,,Fairfield Avenue,,132.06299629262796,FALSE
25,26,10,11651795,,,,Fairfield Avenue,,175.02480558987122,FALSE
26,27,11,11651795,,,,Fairfield Avenue,,107.27599773076834,FALSE
36,37,12,11651845,,,,Forest Avenue,,31.479021270379697,FALSE
39,40,13,11651845,,,,Forest Avenue,,82.46597382967781,FALSE
41,42,14,11651847,,,,Forest Avenue,,195.7487144463438,FALSE
42,43,15,11651847,,,,Forest Avenue,,219.63002240170752,FALSE
44,45,16,11651858,,,,Forest Avenue,,142.73027476565656,FALSE
45,46,17,11651858,,,,Forest Avenue,,128.92710622622033,FALSE
47,48,18,11651859,,,,Forest Avenue,,172.0283861135794,FALSE
49,50,19,11651864,,,,North Negley Avenue,,72.08518310490378,TRUE
50,51,20,11651864,,,,North Negley Avenue,,48.698138299853305,TRUE
51,52,21,11651864,,,,North Negley Avenue,,124.12944652569853,TRUE
52,53,22,11651864,,,,North Negley Avenue,,136.4114328709314,TRUE
53,54,23,11651864,,,,North Negley Avenue,,122.02243748411158,TRUE
56,57,24,11651881,,,,Davis Avenue,,177.24509854596926,FALSE
57,58,25,11651881,,,,Davis Avenue,,167.56426882616512,FALSE
58,59,26,11651881,,,,Davis Avenue,,83.82266765508943,FALSE
59,60,27,11651881,,,,Davis Avenue,,127.1750943646573,FALSE
60,61,28,11651881,,,,Davis Avenue,,117.07590400465514,FALSE
63,64,29,11651886,,,,Davis Avenue,,133.8492878617965,FALSE
64,65,30,11651886,,,,Davis Avenue,,54.738327375002584,FALSE
66,67,31,11651886,,,,Davis Avenue,,90.89602987414966,FALSE
74,75,32,11651904,,,,Davis Avenue,,10.622532692613435,TRUE
76,77,33,11651904,,,,Davis Avenue,,285.721416287924,TRUE
81,82,34,11652003,,,,,,55.08015584929219,TRUE
81,83,35,11853648,,,,Escolta Street,,41.118124387689996,TRUE
83,84,36,11652013,,,,,,59.403293305866285,TRUE
101,102,37,11652388,,,,,,8.210534523864455,FALSE
122,123,38,11652950,,,,,,52.50201490913084,FALSE
125,126,39,11653117,,,,,,35.52299889942213,FALSE
126,127,40,11653117,,,,,,27.797872897431667,FALSE
127,128,41,11653117,,,,,,30.576265445457516,FALSE
130,131,42,11653135,,,,,,23.467472398962105,FALSE
131,134,43,11653137,,,,,,75.72674937584505,FALSE
150,151,44,11653595,,,,El Paso Street,,58.8403451362376,FALSE
177,178,45,11654314,,,,Clever Road,,109.63349632025566,FALSE
181,182,46,11654379,,,,Vinial Street,,12.802642019351389,TRUE
184,185,47,11654479,,,,Hoffman Road,,73.82896253913559,FALSE
187,188,48,11656783,,,,Camp Hill Road,,54.68428699377738,FALSE
191,192,49,11656854,,,,,,67.28806157849527,FALSE
201,202,50,11657228,,,,Pinewood Square,,30.73659557290992,FALSE
213,214,51,11657438,,,,Murdoch Road,,115.350978384115,TRUE
218,219,52,11668380,,,,,,42.97984318491484,FALSE
219,220,53,11668380,,,,,,38.66527714682105,FALSE
221,222,54,11668403,,,,,,64.67757028882536,FALSE
234,250,55,11836877,,,,Baun Road,,94.44199221418431,FALSE
254,255,56,11669720,,,,,,29.902229543697818,FALSE
275,276,57,11670794,,,,1st Street,,45.36080883668157,FALSE
295,296,58,11671705,,,,Hidden Timber Drive,,146.51388871274375,TRUE
297,298,59,11671769,,,,,,45.242373957551145,FALSE
300,301,60,11671780,,,,Alverado Avenue,,99.87543794246857,TRUE
312,313,61,11671920,,,,Thaden Avenue,,109.96169195223905,FALSE
314,315,62,11671945,,,,,,45.630947324009796,TRUE
316,317,63,11672052,,,,,,42.448134545458934,TRUE
330,331,64,11672419,,,,Ovid Street,,38.8945034505096,TRUE
331,332,65,11672419,,,,Ovid Street,,112.36593769389508,TRUE
336,337,66,11672765,,,,Cherry Avenue,,27.84430895475277,FALSE
338,339,67,11673140,,,,,,36.56078536124515,FALSE
341,342,68,11673313,,,,,,23.60476310900946,FALSE
345,346,69,11673332,,,,,,52.35281490582612,TRUE
347,348,70,11673388,,,,,,47.4610114261136,FALSE
355,356,71,11673967,,,,,,46.0990561703768,TRUE
372,373,72,11674894,,,,Collins Avenue,,40.520393797904276,FALSE
122,381,73,11678638,,,,,,54.560854625985186,FALSE
390,394,74,11678816,,,,,,53.63416715952638,FALSE
396,397,75,11678863,,,,East Undercliff Street,,22.062042658791267,FALSE
398,399,76,11679073,,,,,,98.46472340305255,FALSE
399,400,77,11679073,,,,,,172.40555702614805,FALSE
401,402,78,11679167,,,,,,119.87405301172069,FALSE
402,403,79,11679167,,,,,,74.2020098437566,FALSE
405,406,80,11679241,,,,,,225.8635481429305,FALSE
407,408,81,11679271,,,,Flora Street,,82.41853478819876,TRUE
410,411,82,11679274,,,,,,32.00433228713085,FALSE
414,415,83,11679432,,,,,,35.3588742187327,FALSE
253,416,84,11831001,,,,Middletown Road,,68.12490413245067,TRUE
416,417,85,11679437,,,,,,29.803451746222112,TRUE
421,422,86,11679466,,,,Buchanan Drive,,42.70571927054597,FALSE
426,427,87,11679553,,,,Kirk Avenue,,56.875245237181154,FALSE
440,441,88,11679830,,,,,,107.25502232007092,FALSE
441,442,89,11679830,,,,,,57.18633410626939,FALSE
